 PERIOD(SEC)     PSD-NS         PSD-EW         PSD-Z         PSV-NS         PSV-EW         PSV-Z         PSA-NS         PSA-EW         PSA-Z         PSA-sqrt
     0.010    6.55091E-07    6.09909E-07    2.46960E-07    4.11988E-04    3.83148E-04    1.55344E-04    2.63873E-04    2.45402E-04    9.94958E-05    2.54470E-04
     0.020    2.62205E-06    2.44088E-06    9.88449E-07    8.24505E-04    7.66686E-04    3.10879E-04    2.64043E-04    2.45527E-04    9.95572E-05    2.54616E-04
     0.022    3.17314E-06    2.95448E-06    1.19567E-06    9.07090E-04    8.43646E-04    3.41871E-04    2.64082E-04    2.45611E-04    9.95291E-05    2.54679E-04
     0.025    4.10088E-06    3.81653E-06    1.54626E-06    1.03162E-03    9.59028E-04    3.89055E-04    2.64296E-04    2.45698E-04    9.96741E-05    2.54827E-04
     0.029    5.52389E-06    5.13752E-06    2.08681E-06    1.19792E-03    1.11291E-03    4.52637E-04    2.64571E-04    2.45794E-04    9.99684E-05    2.55009E-04
     0.030    5.91395E-06    5.49901E-06    2.23340E-06    1.23976E-03    1.15151E-03    4.68285E-04    2.64684E-04    2.45842E-04    9.99770E-05    2.55089E-04
     0.032    6.73107E-06    6.26056E-06    2.54343E-06    1.32292E-03    1.22904E-03    4.99959E-04    2.64786E-04    2.45995E-04    1.00068E-04    2.55218E-04
     0.035    8.05704E-06    7.49609E-06    3.04840E-06    1.44780E-03    1.34546E-03    5.47857E-04    2.64942E-04    2.46214E-04    1.00256E-04    2.55406E-04
     0.036    8.52706E-06    7.93251E-06    3.22655E-06    1.48963E-03    1.38424E-03    5.63766E-04    2.65025E-04    2.46274E-04    1.00301E-04    2.55477E-04
     0.040    1.05433E-05    9.79951E-06    3.99370E-06    1.65774E-03    1.53903E-03    6.28025E-04    2.65440E-04    2.46432E-04    1.00561E-04    2.55760E-04
     0.042    1.16314E-05    1.08068E-05    4.41001E-06    1.74174E-03    1.61641E-03    6.60467E-04    2.65610E-04    2.46498E-04    1.00719E-04    2.55875E-04
     0.044    1.27727E-05    1.18660E-05    4.84634E-06    1.82569E-03    1.69416E-03    6.92821E-04    2.65758E-04    2.46611E-04    1.00851E-04    2.56005E-04
     0.045    1.33641E-05    1.24157E-05    5.07280E-06    1.86779E-03    1.73326E-03    7.09080E-04    2.65843E-04    2.46696E-04    1.00924E-04    2.56091E-04
     0.046    1.39695E-05    1.29783E-05    5.30463E-06    1.90995E-03    1.77240E-03    7.25365E-04    2.65934E-04    2.46782E-04    1.00997E-04    2.56179E-04
     0.048    1.52228E-05    1.41388E-05    5.78398E-06    1.99456E-03    1.85044E-03    7.57957E-04    2.66145E-04    2.46914E-04    1.01138E-04    2.56349E-04
     0.050    1.65327E-05    1.53530E-05    6.28654E-06    2.07951E-03    1.92897E-03    7.90860E-04    2.66380E-04    2.47096E-04    1.01307E-04    2.56557E-04
